"id","name","nameId","originalId","gender","address","kind","species","level","hp","mp","physicalAttack","physicalDefense","magicalAttack","magicalDefense","speed","technique","charm","luck","armor","commandPatternId","hpHard","mpHard","physicalAttackHard","physicalDefenseHard","magicalAttackHard","magicalDefenseHard","speedHard","techniqueHard","charmHard","luckHard","armorHard","commandPatternIdHard","defenseCommandId","effectScale","directionAngleId","dlcID","area","drop_0_name","drop_0_weight","drop_0_steal","drop_1_name","drop_1_weight","drop_1_steal","drop_2_name","drop_2_weight","drop_2_steal","drop_3_name","drop_3_weight","drop_3_steal","description"
60010,"Plantvine","en_60010",60010,2,"Enemy/en_60010",1,0,3,18,18,34,16,36,16,26,18,0,19,0,60010,19,18,34,16,36,16,26,18,0,19,0,60010,0,1,4,0,"Grum County – North","Plantvine",8,0,"","","","","","","","","","A botanic monster that inhabits grassland. Usually lurks in burrows with only the twin leaves of its head visible. Timid, rarely attacks humans."
60011,"Torasampe","en_60011",60011,2,"Enemy/en_60011",1,3,51,293,293,272,104,272,104,168,173,0,165,0,60011,311,293,279,104,279,104,168,182,0,165,0,60011,0,1,4,0,"Castle Harganthia","","","","","","","","","","","","","A botanic monster in revenant castles. Hides in the ground near the dead, with twin leaves as its only visible feature. Savage and craves human flesh."
60020,"Sahagin","en_60020",60020,2,"Enemy/en_60020",1,0,30,191,212,156,62,156,62,139,133,0,104,0,60020,202,212,158,62,158,62,139,137,0,104,0,60020,12,1,4,0,"Euchrisse","Rune of Water",5,1,"Sahagin",5,0,"","","","","","","An aquatic monster, half fish and half beast, that inhabits shore areas. Arms are unusually strong and well-developed. Apparently a poor swimmer."
60030,"Sea Slater","en_60030",60030,2,"Enemy/en_60030",1,0,35,243,221,194,72,159,58,102,128,0,122,0,60030,258,221,197,72,162,58,102,132,0,122,0,60030,0,1,4,0,"Coastal Cave
","","","","","","","","","","","","","An arthropod monster that inhabits damp shore caves. Rustles about the rocks and licks moss and seaweed. Many humans find it repulsive."
60031,"Blaberus","en_60031",60031,2,"Enemy/en_60031",1,0,34,201,223,161,60,161,60,143,122,0,96,0,60031,213,223,164,60,164,60,143,126,0,96,0,60031,0,1,4,0,"Bounty Hill","","","","","","","","","","","","","An arthropod monster that inhabits damp forest thickets. Rustles up trees and licks sap and fruit. Many humans find it repulsive."
60040,"Shell Octopus","en_60040",60040,2,"Enemy/en_60040",1,0,35,254,254,200,81,200,81,129,105,0,100,0,60040,269,254,204,81,204,81,129,109,0,100,0,60040,0,1,4,0,"Coastal Cave
","Water Beigoma",8,0,"","","","","","","","","","A molluscoid monster that inhabits rocky coastal areas. Usually hides inside tough shells. Spits ink to blind its enemies."
60050,"Sea Lizard","en_60050",60050,2,"Enemy/en_60050",1,0,31,230,209,186,68,152,54,94,118,0,113,0,60050,244,209,189,68,154,54,94,122,0,113,0,60050,0,1,4,0,"Hishahn Old Town","Antivenom Herb",10,1,"","","","","","","","","","A subspecies of lizard that inhabits shore areas. Ferocious and will seize any chance to bite. Does not take damage while hiding underground."
60060,"Sea Ghost","en_60060",60060,2,"Enemy/en_60060",1,3,31,215,238,173,69,173,69,154,125,0,99,0,60060,228,238,176,69,176,69,154,129,0,99,0,60060,0,1,4,0,"Hishahn Old Town","Rune of Dark",5,1,"Sea Ghost",8,0,"","","","","","","A spirit monster that haunts shore areas. If this monster is killed with a curse, it returns in the same form to haunt the land of the living."
60070,"Savage Crab","en_60070",60070,2,"Enemy/en_60070",1,0,35,296,270,237,88,194,70,125,128,0,122,50,60071,314,270,241,88,197,70,125,132,0,122,50,60071,0,1,4,0,"The Seaside Cavern","Rune of Ground Shatter",5,1,"","","","","","","","","","A crustaceous shore monster with giant claws and a hard carapace. Nuisance in attacks, but prized by fishermen for its delicious flavor."
60071,"Desert Crab","en_60071",60071,2,"Enemy/en_60071",1,0,39,290,276,240,112,206,75,124,138,0,131,50,60071,307,276,245,112,210,75,124,143,0,131,50,60071,0,1,4,0,"The Den of the Dunes","Rune of Ground Shatter",5,1,"Desert Crab",5,0,"","","","","","","A crustaceous monster that inhabits the desert. Has giant claws and a hard carapace. Its flesh is so delicious that all fall silent while eating it."
60080,"Remora","en_60080",60080,2,"Enemy/en_60080",1,0,32,238,238,192,77,192,77,119,91,0,88,0,60080,252,238,195,77,195,77,119,94,0,88,0,60080,0,1,4,0,"Drowned City","Remora",8,0,"","","","","","","","","","A monster that inhabits shore areas. Stops prey with high-pressure water and then bites with sharp fangs. Its delicious red flesh is rich in iron."
60090,"Petit Gargoyle","en_60090",60090,2,"Enemy/en_60090",1,0,51,271,302,281,87,230,87,187,194,0,185,0,60090,287,302,288,87,236,87,187,204,0,185,0,60090,0,1,4,0,"Castle Harganthia","Petit Gargoyle",8,0,"","","","","","","","","","A stone castle guardian, imbued with life with high magic. When its magic expires, its eyes lose their color, and it becomes an ordinary statue again."
60100,"Corpse Knight","en_60100",60100,2,"Enemy/en_60100",1,3,42,885,295,214,120,214,120,109,157,0,150,0,60100,938,295,218,120,218,120,109,164,0,150,0,60100,0,1,4,0,"Castle Harganthia","Spirit Medicine",100,0,"","","","","","","","","","An undead monster utterly bound to its master's will. Raised by a higher revenant from the corpse of a low-ranking knight fallen on the battlefield."
60101,"Hell Knight","en_60101",60101,2,"Enemy/en_60101",1,3,52,405,352,328,127,268,102,109,176,0,168,0,60101,429,352,337,127,275,102,109,185,0,168,0,60101,0,1,4,0,"Castle Harganthia","Rune of Divine Skill",3,1,"Topaz Bangle",3,0,"Amethyst Bangle",3,0,"","","","An undead monster utterly bound to its master's will. Raised by a higher revenant from the corpse of a knight fallen on the battlefield."
60110,"Corpse Guard","en_60110",60110,2,"Enemy/en_60110",1,3,45,447,319,242,139,242,139,116,112,0,107,40,60110,474,319,247,139,247,139,116,117,0,107,40,60110,0,1,4,0,"Castle Harganthia","","","","","","","","","","","","","An undead monster utterly bound to its master's will. Raised by a higher revenant from the corpse of a heavy infantryman fallen on the battlefield."
60111,"Cursed Guard","en_60111",60111,2,"Enemy/en_60111",1,3,49,349,317,293,112,239,90,148,167,0,159,40,60111,370,317,300,112,245,90,148,175,0,159,40,60111,0,1,4,0,"Athrabalt","","","","","","","","","","","","","An undead monster utterly bound to its master's will. Raised by a higher revenant from the corpse of a heavy infantryman fallen on the battlefield."
60112,"Hell Guard","en_60112",60112,2,"Enemy/en_60112",1,3,51,492,352,268,152,268,152,127,123,0,118,40,60112,522,352,275,152,275,152,127,129,0,118,40,60112,0,1,4,0,"Castle Harganthia","Warded Ribbon",3,1,"Sunstone Bangle",3,0,"","","","","","","An undead monster utterly bound to its master's will. Raised by a higher revenant from the corpse of a guard fallen on the battlefield."
60120,"Corpse Witch","en_60120",60120,2,"Enemy/en_60120",1,3,45,304,304,230,88,282,121,142,160,0,153,0,60120,322,304,235,88,288,121,142,167,0,153,0,60120,0,1,4,0,"Castle Harganthia","","","","","","","","","","","","","An undead monster utterly bound to its master's will. Raised by a higher revenant from the corpse of a mage fallen on the battlefield."
60121,"Cursed Witch","en_60121",60121,2,"Enemy/en_60121",1,3,49,317,317,239,90,293,123,148,167,0,159,0,60121,336,317,245,90,300,123,148,175,0,159,0,60121,0,1,4,0,"Athrabalt","Tanzanite Brooch",7,1,"","","","","","","","","","An undead monster utterly bound to its master's will. Raised by a higher revenant from the corpse of a high mage fallen on the battlefield."
60130,"Hellflower","en_60130",60130,2,"Enemy/en_60130",1,0,53,704,352,268,114,268,114,127,123,0,118,0,60130,746,352,275,114,275,114,127,130,0,118,0,60130,25,1,4,0,"Castle Harganthia","Champion's Belt",3,1,"Hellflower",5,0,"","","","","","","A botanic monster mutated by human corpse nutrients. Paralyzes victims with pollen before preying on them. Originally a small insectivorous plant."
60140,"Soul Reaper","en_60140",60140,2,"Enemy/en_60140",1,3,55,554,396,303,171,303,171,165,127,0,122,0,60140,587,396,311,171,311,171,165,134,0,122,0,60140,0,1,4,0,"Castle Harganthia","Turquoise Bangle",7,1,"Unknown Coin",3,0,"Unknown Coin",1,0,"Soul Reaper",3,0,"A revenant, that was once an executioner cursed to death by its former master. Now vengefully roams earth, seeking to decapitate every being it finds."
60150,"Evil Spirit","en_60150",60150,2,"Enemy/en_60150",1,3,51,354,322,297,114,243,91,150,170,0,162,0,60150,375,322,305,114,249,91,150,179,0,162,0,60150,0,1,4,0,"Castle Harganthia","","","","","","","","","","","","","A spirit monster found in caves and ruined castles. Said to be the remnant of a being that died with strong worldly attachments."
60160,"Corpse Rider","en_60160",60160,2,"Enemy/en_60160",1,3,49,291,323,301,93,247,93,203,180,0,172,0,60160,308,323,308,93,253,93,203,189,0,172,0,60160,0,1,4,0,"Athrabalt","Pearl Brooch",7,1,"Corpse Rider",3,0,"","","","","","","A revenant that was once a knight who amassed deeds of valor on many battlefields with his steed. Roams battlefields in looking for a place to die."
60170,"Wandering Golem","en_60170",60170,2,"Enemy/en_60170",1,2,36,320,209,186,85,152,70,110,118,0,113,0,60170,339,209,189,85,155,70,110,122,0,113,0,60170,0,1,4,0,"The Rune-Lens Research Lab","","","","","","","","","","","","","A type of Rune Golem seen in the Rune-Lens Research Laboratory. Small and weak. Attacks by charging, but has bad balance."
60171,"Wandering Golem","en_60171",60171,2,"Enemy/en_60171",1,2,5,30,30,48,18,43,18,29,24,0,24,0,60171,31,30,48,18,43,18,29,24,0,24,0,60171,0,1,4,0,"Northern Runebarrows","","","","","","","","","","","","","A type of Rune Golem sighted in the Northern Barrows. Small and weak. Attacks by charging, but has bad balance. Covered in moss."
60180,"Huge Mite","en_60180",60180,2,"Enemy/en_60180",1,0,4,22,20,47,18,34,14,23,26,0,27,0,60180,23,20,47,18,34,14,23,26,0,27,0,60180,0,1,4,0,"Northern Forest","Huge Mite",8,0,"","","","","","","","","","An arthropod monster that inhabits damp vegetated areas. Viciously attacks in swarms to suck the blood of its prey."
60190,"Golem Cleaner","en_60190",60190,2,"Enemy/en_60190",1,2,24,211,151,147,78,147,78,72,66,0,64,40,60190,224,151,149,78,149,78,72,68,0,64,40,60190,0,1,4,0,"Proving Grounds","Topaz Ring",7,1,"Topaz Brooch",3,0,"","","","","","","A type of Rune Golem seen in Runebarrows. Fires a powerful destructive beam to clean up broken golems and intruders."
60191,"Golem Cleaner","en_60191",60191,2,"Enemy/en_60191",1,2,6,97,48,50,18,48,18,32,22,0,23,20,60191,101,48,50,18,48,18,32,22,0,23,20,60191,0,1,4,0,"Northern Runebarrows","Topaz Ring",7,1,"","","","","","","","","","A type of Rune Golem sighted in the Northern Barrows. Fires a powerful destructive beam to clean up broken golems and intruders. Covered in moss."
60192,"Assault Cleaner","en_60192",60192,2,"Enemy/en_60192",1,2,37,515,257,185,90,185,90,93,90,0,85,50,60192,546,257,188,90,188,90,93,93,0,85,50,60192,0,1,4,0,"Runebarrows","","","","","","","","","","","","","An upgraded golem cleaner sighted at the Rune-Lens Research Laboratory. Fires a powerful destructive beam to clean up broken golems and intruders."
60200,"Aether Slime","en_60200",60200,2,"Enemy/en_60200",1,0,9,67,67,59,22,68,30,38,42,0,42,0,60200,70,67,59,22,68,30,38,42,0,42,0,60200,0,1,4,0,"Abandoned Mine","Rune of Water",3,1,"","","","","","","","","","A monster that inhabits tunnels and caves. Dissolves and absorbs anything that crosses its path. It vibrate its body to boost its resistance to magic."
60210,"Pawn Demon","en_60210",60210,2,"Enemy/en_60210",1,2,25,143,143,157,63,157,63,100,81,0,78,0,60210,152,143,159,63,159,63,100,83,0,78,0,60210,0,1,4,0,"Proving Grounds","White Crystal",7,1,"Pawn Demon",3,0,"","","","","","","The lowest species of demon. Demons themselves are very seldom sighted. Origin unknown."
60211,"Andromalius","en_60211",60211,2,"Enemy/en_60211",1,2,38,539,270,194,79,194,79,97,90,0,85,0,60211,571,270,198,79,198,79,97,93,0,85,0,60211,0,1,4,0,"Rune-Lens Research Lab","Rune of High Magic",5,1,"","","","","","","","","","A subspecies of the very rarely sighted pawn demon. Higher species of demons are said to have smaller bodies."
60220,"Ancient Seed","en_60220",60220,2,"Enemy/en_60220",3,0,26,1837,2041,145,42,119,42,88,86,0,84,0,60220,1984,2041,147,42,121,42,88,88,0,84,0,60220,0,1,4,0,"The Greatwood","Rune of Conservation",100,0,"","","","","","","","","","A botanic monster that inhabits deep forests. Uses its two claws and huge mouth and teeth to prey on even large organisms."
60221,"Seed Conqueror","en_60221",60221,2,"Enemy/en_60221",1,0,42,1544,257,215,90,215,90,130,121,0,115,0,60221,1668,257,220,90,220,90,130,126,0,115,0,60221,0,1,4,0,"Dappled Forest","Rune of Sleep Slash",5,1,"Seed Conqueror",3,0,"","","","","","","A subspecies of Ancient Seed that inhabits deep forest. Uses its two claws and huge mouth and teeth to prey on even large organisms."
60230,"Eggfoot","en_60230",60230,2,"Enemy/en_60230",1,0,19,110,122,107,43,107,43,101,81,0,66,0,60230,117,122,108,43,108,43,101,83,0,66,0,60230,0,1,4,0,"Around Headquarters","Regular Egg",8,1,"Promising Egg",5,0,"","","","","","","An egg-type monster that inhabits grassland and forest. Domesticated eggfoots are traded for races. Drops plain ole eggs."
60231,"Mach Egg","en_60231",60231,2,"Enemy/en_60231",1,0,53,338,376,290,125,290,125,254,208,0,162,0,60231,358,376,298,125,298,125,254,219,0,162,0,60231,0,1,4,0,"Imperial Army Headquarters","Champion Egg",3,0,"","","","","","","","","","A subspecies of eggfoot that inhabits grassland and forest. The fastest of all wild eggfoots."
60240,"Odd Egg","en_60240",60240,2,"Enemy/en_60240",1,0,16,66,73,86,22,70,22,63,63,0,64,0,60240,69,73,87,22,71,22,63,64,0,64,0,60240,0,1,4,0,"Around Kyshiri Village","Regular Egg",8,1,"","","","","","","","","","A subspecies of eggfoot that inhabits grassland and forest. Has some remaining shell attached due to hatching too hastily."
60250,"Shell Egg","en_60250",60250,2,"Enemy/en_60250",1,0,7,36,40,50,13,39,13,35,46,0,36,0,60250,37,40,50,13,39,13,35,46,0,36,0,60250,0,1,4,0,"Grum County","Regular Egg",8,1,"","","","","","","","","","A subspecies of eggfoot that inhabits grassland and forest. Unlike regular eggfoots, this variant grows to adulthood with its shell attached."
60251,"Frost Shell","en_60251",60251,2,"Enemy/en_60251",1,0,48,285,317,239,101,239,101,213,184,0,143,0,60251,302,317,245,101,245,101,213,193,0,143,0,60251,0,1,4,0,"The Whitecrowns","Champion Egg",3,1,"","","","","","","","","","A subspecies of eggfoot that inhabits the Whitecrowns. Retains its shell to keep warm amid the cold."
60260,"Lizard","en_60260",60260,2,"Enemy/en_60260",1,0,7,50,45,55,16,43,13,29,35,0,36,0,60260,52,45,55,16,43,13,29,35,0,36,0,60260,0,1,4,0,"Grum County","Lizard",8,0,"","","","","","","","","","A reptilian monster that inhabits grassland. Savagely bites at any opportunity. Does not take damage while hiding underground."
60261,"Forest Lizard","en_60261",60261,2,"Enemy/en_60261",1,0,19,125,125,104,59,104,59,49,78,0,76,0,60261,133,125,105,59,105,59,49,79,0,76,0,60261,0,1,4,0,"The Greatwood","","","","","","","","","","","","","A subspecies of lizard that inhabits the Greatwood. Savagely bites at any opportunity. Does not take damage while hiding underground."
60270,"Cockatrice (Hatchling)","en_60270",60270,2,"Enemy/en_60270",1,0,14,84,84,91,33,91,33,61,49,0,49,0,60270,87,84,92,33,92,33,61,50,0,49,0,60270,0,1,4,0,"Mountain Path Homeward","Healing Herb",5,1,"Cockatrice (Hatchling)",8,0,"","","","","","","A flying monster that inhabits mountains and forests. Still juvenile and cannot fly properly. May call parents when threatened."
60271,"Richie Cockatrice","en_60271",60271,2,"Enemy/en_60271",1,0,14,78,87,85,32,85,32,83,70,0,58,0,60271,81,87,86,32,86,32,83,71,0,58,0,60271,0,1,4,0,"Mountain Path Homeward","","","","","","","","","","","","","A flying monster that inhabits mountains and forests. Still juvenile and cannot fly properly. Somehow possesses a great deal of baqua."
60272,"Strange Bird","en_60272",60272,2,"Enemy/en_60272",1,0,19,119,119,117,51,117,51,77,62,0,61,0,60272,126,119,118,51,118,51,77,63,0,61,0,60272,0,1,4,0,"Bounty Hill","Rune of Wind",3,1,"","","","","","","","","","A subspecies of cockatrice that inhabits forests. Still juvenile and cannot fly properly. May call parents when threatened."
60280,"Cockatrice (adult)","en_60280",60280,2,"Enemy/en_60280",1,0,39,289,289,240,98,240,98,144,110,0,105,0,60280,306,289,245,98,245,98,144,114,0,105,0,60280,0,1,4,0,"The Eldroad","Rune of Storm",2,1,"Cockatrice (Adult)",5,0,"","","","","","","Mountain and forest-dwelling flying monster. Turns humans to stone when its young is threatened. Occasionally appears alone during breeding season."
60281,"Hippogriff","en_60281",60281,2,"Enemy/en_60281",1,0,48,1940,323,255,117,255,117,190,131,0,125,0,60281,2095,323,261,117,261,117,190,137,0,125,0,60281,0,1,4,0,"Bounty Hill","Rune of Storm",5,1,"","","","","","","","","","Forest-dwelling cockatrice subspecies. Turns humans to stone when its young are threatened. Occasionally appears alone during breeding season."
60282,"Synthetic Specimen C_0282","en_60282",60282,2,"Enemy/en_60282",1,2,57,415,395,336,144,336,144,164,158,0,151,0,60282,440,395,346,144,346,144,164,167,0,151,0,60282,0,1,4,0,"Gardhaven Castle","Rune of Impassable Resistance",3,1,"","","","","","","","","","A mass-produced specimen created in Dux Aldric's research by melding a cockatrice with a rune-lens. Controllable with a regule."
60290,"Tyrant Tortoise","en_60290",60290,2,"Enemy/en_60290",1,0,40,440,315,237,132,237,132,111,106,0,101,50,60290,466,315,242,132,242,132,111,110,0,101,50,60290,0,1,4,0,"The Eldroad","Defensive Brooch",5,1,"Tyrant Tortoise",5,0,"","","","","","","A large reptilian monster that inhabits the Greatwood. Covered with a hard carapace that shields it from all half-hearted attacks."
60291,"Modified Specimen T_1965","en_60291",60291,2,"Enemy/en_60291",1,2,54,551,394,304,174,304,174,143,132,0,126,50,60291,584,394,312,174,312,174,143,139,0,126,50,60291,0,1,4,0,"Imperial Army Headquarters","Topaz Bangle",3,1,"Amethyst Bangle",3,0,"","","","","","","A weapon born from Dux Aldric's research. Created by melding a tyrant tortoise with a rune-lens to yield a controllable specimen."
60300,"Sandfish","en_60300",60300,2,"Enemy/en_60300",1,0,42,304,276,252,93,206,75,124,138,0,131,0,60300,322,276,257,93,210,75,124,144,0,131,0,60300,0,1,4,0,"Great Sandy Sea","Rune of Mighty Power",10,1,"Sandfish",5,0,"","","","","","","A fish-monster that inhabits the desert. Its white flesh is delicious with sauce. Dried sandfish fins are a local specialty."
60310,"Asterion","en_60310",60310,2,"Enemy/en_60310",1,0,56,1836,408,278,162,278,162,253,234,0,186,0,60310,1983,408,286,162,286,162,253,247,0,186,0,60310,0,1,4,0,"Chelonian Goliath, Vilashnu","Peridot Bangle",5,1,"","","","","","","","","","A beast-monster that inhabits the Chelonian Goliath, Vilashnu. Attacks with devastating headbutts and a paralyzing roar."
60311,"Modified Specimen W_1155","en_60311",60311,2,"Enemy/en_60311",3,2,42,1340,298,216,91,216,91,147,135,0,77,0,60311,1447,298,221,91,221,91,147,141,0,77,0,60311,0,1,4,0,"Blocked Highway","Peridot Bangle",100,0,"Recovery Incense",100,0,"","","","","","","A weapon born from Dux Aldric's research. Created by melding an asterion with a rune-lens in an attempt to make a controllable specimen."
60320,"Cactus Predator","en_60320",60320,2,"Enemy/en_60320",1,0,31,234,234,184,70,184,70,116,89,0,86,0,60320,248,234,187,70,187,70,116,92,0,86,0,60320,0,1,4,0,"Euchrisse","Rune of HP",3,1,"Cactus Predator",5,0,"","","","","","","A botanic monster that inhabits swamps and rocky ridges. Scatters poisonous spikes to protect itself from enemies."
60330,"Desert Serval","en_60330",60330,2,"Enemy/en_60330",1,0,36,176,221,212,86,159,65,91,102,0,98,0,60330,187,221,216,86,162,65,91,106,0,98,0,60330,22,1,4,0,"Shandar Ridge","Pearl Brooch",5,1,"Desert Serval",5,0,"","","","","","","Desert beast-monster with nimble attacks and sharp claws for tearing prey. Reckless attackers face swift and brutal retribution from its fangs."
60340,"Scorpion Assassin","en_60340",60340,2,"Enemy/en_60340",1,0,40,413,295,220,120,220,120,103,99,0,95,0,60340,438,295,224,120,224,120,103,103,0,95,0,60340,0,1,4,0,"The Den of the Dunes","Scorpion Assassin",5,0,"","","","","","","","","","An arthropod monster that savagely attacks with its giant claws and venomous sting. Death is a constant peril for those who would confront it."
60350,"Wild Boar","en_60350",60350,2,"Enemy/en_60350",1,0,8,86,62,61,36,58,29,30,37,0,27,0,60350,89,62,61,36,58,29,30,37,0,27,0,60350,0,1,4,0,"Redthroat Ridge","Rune of Feint Thrust",3,1,"Wild Boar",8,0,"","","","","","","A beast-monster that inhabits mountains. Vigilante groups are often formed to eradicate this crop-ravaging omnivore. Perilous to confront head-on."
60351,"Frost Boar","en_60351",60351,2,"Enemy/en_60351",1,0,49,365,365,260,142,260,142,113,167,0,159,0,60351,387,365,266,142,266,142,113,175,0,159,0,60351,0,1,4,0,"Snowpeak Pass","Malachite Brooch",7,1,"","","","","","","","","","Whitecrown-dwelling Wild Boar subspecies. Avoids human settlements, charges fiercely even in the snow, and is perilous to confront head-on."
60360,"Ogre","en_60360",60360,2,"Enemy/en_60360",1,0,54,454,395,370,144,302,115,123,198,0,189,0,60360,481,395,380,144,310,115,123,209,0,189,0,60360,0,1,4,0,"Imperial Army Headquarters","","","","","","","","","","","","","This vicious race travels in gangs. Ogres assault humans and don the gear they plunder. Presumed to be incapable of understanding human speech, but..."
60361,"Balor","en_60361",60361,2,"Enemy/en_60361",1,0,52,272,340,346,148,259,111,141,143,0,137,0,60361,288,340,355,148,266,111,141,150,0,137,0,60361,0,1,4,0,"Castle Harganthia","Preventive Bracelet",3,1,"Balor",5,0,"","","","","","","A breed of ogres that travels in packs. Assaults humans and dons plundered gear. Presumed to be incapable of understanding human speech, but..."
60370,"Forest Eater","en_60370",60370,2,"Enemy/en_60370",3,0,7,593,658,49,16,44,16,36,33,0,27,0,60370,629,658,49,16,44,16,36,33,0,27,0,60370,0,1,4,0,"Northern Forest","Revival Medicine",100,0,"","","","","","","","","","A botanic monster that inhabits forests. Launches surprise attacks from above by swinging down on threads. Captured prey is hauled up to the canopy."
60371,"Forest Ruler","en_60371",60371,2,"Enemy/en_60371",1,0,42,1676,279,220,89,220,89,142,105,0,100,50,60371,1810,279,225,89,225,89,142,109,0,100,50,60371,0,1,4,0,"Dappled Forest","Rune of Currents",5,1,"","","","","","","","","","Forest-dwelling Forest Eater subspecies. Launches surprise attacks from above by swinging down on threads. Captured prey is hauled up to the canopy."
60380,"Hellhound","en_60380",60380,2,"Enemy/en_60380",1,0,19,107,119,129,41,105,41,92,86,0,84,0,60380,113,119,130,41,106,41,92,88,0,84,0,60380,0,1,4,0,"The Greatwood","Hellhound",5,0,"","","","","","","","","","A beast-monster that inhabits the Greatwood. Savages its prey with its razor-sharp claws and fangs."
60381,"Modified Specimen H_008","en_60381",60381,2,"Enemy/en_60381",1,2,57,415,395,353,173,302,115,184,198,0,189,0,60381,440,395,363,173,311,115,184,209,0,189,0,60381,0,1,4,0,"Gardhaven Castle","Malachite Bangle",7,1,"","","","","","","","","","A weapon born from Dux Aldric's research, mass-produced by melding hellhounds with rune-lenses to yield controllable specimens."
60390,"Killer Fungus","en_60390",60390,2,"Enemy/en_60390",1,0,29,196,196,156,59,156,59,96,86,0,83,0,60390,208,196,158,59,158,59,96,88,0,83,0,60390,0,1,4,0,"The Greatwood","Killer Fungus",8,0,"","","","","","","","","","A botanic monster that inhabits swamps and the Greatwood. Defends itself from enemies using its toxic spores."
60391,"Toadstool","en_60391",60391,2,"Enemy/en_60391",1,0,39,263,263,218,89,218,89,131,110,0,105,0,60391,279,263,222,89,222,89,131,114,0,105,0,60391,0,1,4,0,"The Eldroad","","","","","","","","","","","","","A subspecies of killer fungi that inhabits the depths of the Greatwood. Defends itself from enemies using its toxic spores."
60400,"Earth Dragon","en_60400",60400,2,"Enemy/en_60400",1,0,57,2133,427,294,216,294,216,221,195,0,186,150,60400,2304,427,302,216,302,216,221,206,0,186,150,60400,0,1,4,0,"Chelonian Goliath, Vilashnu","Rune of Stone",5,1,"Earth Dragon",3,0,"","","","","","","A rare land-dragon that inhabits the Chelonian Goliath, Vilashnu. Generates thunderbolts in its body and discharges them through its mouth."
